Title,Company,Location,Description,URL
Data Manager,Wilson County Schools,"Wilson, NC 27893","Responsible for reviewing forms and handwritten information, and entering data into proper computer files, often utilizing specialized codes and abbreviations;…",https://www.indeed.com/viewjob?jk=0e811fcc1996b03e&from=serp&vjs=3
Sr Tableau Data Intelligence Specialist - remote opportunity,"Tivity Health, Inc.",Remote,"Troubleshoot data issues in reports and modify Snowflake data as needed.
Ability to write complex SQL queries joining data from disparate data sources.",https://www.indeed.com/viewjob?jk=2bc9843a709fe7c0&from=serp&vjs=3
Business Analyst (Contingent),Amazon,"Atlanta, GA","2-3 years’ experience analyzing complex data sets.
Reviews, analyzes, and evaluates business systems and user needs.",https://www.indeed.com/viewjob?jk=edde05f1954bf21a&from=serp&vjs=3
Senior Data Scientist,Microsoft,United States,"Work closely with security researchers, program managers, other data scientists, and engineering teams to help implement a data-driven strategy for detecting…",https://www.indeed.com/viewjob?jk=f5e11f7e9ef0d54d&from=serp&vjs=3
Data Engineer,Build-A-Bear,"Hybrid work in St. Louis, MO 63103","Develop data factory pipelines and/or data flows.
The Data Engineer will function as an expert on the data team, implementing data integration solutions within…",https://www.indeed.com/viewjob?jk=27850759a0fec402&from=serp&vjs=3
Data Processing Clerk,Irving Independent School District,Texas,"Should be able to interpret procedures and analyze data for decision-making.
PAY GRADE: Paraprofessional 050 (225 Days).
High School Diploma or GED.",https://www.indeed.com/viewjob?jk=f669b098cce3db19&from=serp&vjs=3
Senior Research Data Analyst (Research Data Analyst),Indiana University,"Indianapolis, IN 46202 (Downtown area)","Performs complex data collection, data analysis, data management, literature research, technical writing, and reporting in support of research project(s);…",https://www.indeed.com/viewjob?jk=1f1bda399a6bf68e&from=serp&vjs=3
Sr. Data Analyst,Lightcast,"Remote in Moscow, ID 83843",Collaborate and coordinate with other data product employees and engineering team leads to create data products with people in mind.,https://www.indeed.com/viewjob?jk=f53ece934cf8d73b&from=serp&vjs=3
Emergency Assistance Data Analyst,Exec Office of Housing and Livable Communities,"Boston, MA 02129 (Charlestown area)","Verify data for accuracy by reviewing data patterns, reports, and performance indicators to locate and correct code or process problems or inaccuracies in raw…",https://www.indeed.com/viewjob?jk=6513d9c26a511a5f&from=serp&vjs=3
Data Scientist,AccessHope,Remote,"Present information using data visualization techniques.
Undertaking data collection, preprocessing and analysis.
Building models to address business problems.",https://www.indeed.com/viewjob?jk=773d193f0c23264c&from=serp&vjs=3
Data Processing Clerk,Irving Independent School District,Texas,"Should be able to interpret procedures and analyze data for decision-making.
PAY GRADE: Paraprofessional 050 (225 Days).
High School Diploma or GED.",https://www.indeed.com/viewjob?jk=f669b098cce3db19&from=serp&vjs=3
Data Analyst,Booz Allen,"Arlington, VA","Experience in data validation and cleaning to ensure the quality and integrity of data.
Grow your communication and technical skills by merging consulting and…",https://www.indeed.com/viewjob?jk=e8a2d87e204e5281&from=serp&vjs=3
Senior Research Data Analyst (Research Data Analyst),Indiana University,"Indianapolis, IN 46202 (Downtown area)","Performs complex data collection, data analysis, data management, literature research, technical writing, and reporting in support of research project(s);…",https://www.indeed.com/viewjob?jk=1f1bda399a6bf68e&from=serp&vjs=3
Emergency Assistance Data Analyst,Exec Office of Housing and Livable Communities,"Boston, MA 02129 (Charlestown area)","Verify data for accuracy by reviewing data patterns, reports, and performance indicators to locate and correct code or process problems or inaccuracies in raw…",https://www.indeed.com/viewjob?jk=6513d9c26a511a5f&from=serp&vjs=3
Sr. Data Analyst,Lightcast,"Remote in Moscow, ID 83843",Collaborate and coordinate with other data product employees and engineering team leads to create data products with people in mind.,https://www.indeed.com/viewjob?jk=f53ece934cf8d73b&from=serp&vjs=3
Data Scientist,AccessHope,Remote,"Present information using data visualization techniques.
Undertaking data collection, preprocessing and analysis.
Building models to address business problems.",https://www.indeed.com/viewjob?jk=773d193f0c23264c&from=serp&vjs=3
Data Collector,University of Minnesota,"Minneapolis, MN","Experience participating in data collection for research, including recruitment of participants, survey research and collection of participant height/weight…",https://www.indeed.com/viewjob?jk=bf935b1ba7df0ce2&from=serp&vjs=3
Data Entry/Mail Clerk,Richeson Management Corporation,"Graham, TX 76450","Excel, Word, and WordPerfect experience is a plus.
Wellness, dental and vision insurance available.",https://www.indeed.com/viewjob?jk=0eb05a87c1d9c1fb&from=serp&vjs=3
Summer Football Data Entry,St. Olaf College,"Northfield, MN 55057",Pay Rate (Check One) X Standard Hourly Rate Supervisory/Special Skills Hourly Rate.,https://www.indeed.com/viewjob?jk=5c7f45a7984551c5&from=serp&vjs=3
Data Annotations Manager,Datasite,Remote,"3+ years of leadership experience working on data annotations and data preparation for AI/ML use cases.
Experience working with large unstructured text data…",https://www.indeed.com/viewjob?jk=c5a7e4615f14e37a&from=serp&vjs=3
Data & Analytics Lead,ILIA Beauty,"Hybrid work in Los Angeles, CA","Experience with omni-channel data analysis, including experience with ecommerce, wholesale data, operations data, and financial data.",https://www.indeed.com/viewjob?jk=af17697ec50ea465&from=serp&vjs=3
Research Data Analyst,Indiana University,"Indianapolis, IN 46202 (Downtown area)","Performs highly complex data collection, data analysis, data management, literature research, technical writing, and reporting in support of research project(s)…",https://www.indeed.com/viewjob?jk=821304bf04799354&from=serp&vjs=3
Data Science,Microsoft,"Redmond, WA 98052 (Overlake area)","Use a variety of data science methods like time series and statistics.
Leverage understanding of data to influence business decisions and own & advocate for…",https://www.indeed.com/viewjob?jk=2e47b7ae738c37e5&from=serp&vjs=3
Business Analyst,Honda,"Hybrid work in Raymond, OH 43067","The Frame Research division, within the Frame Development Business Unit plays a critical role in developing next generation vehicles to exceed Honda and Acura…",https://www.indeed.com/viewjob?jk=39169d8bec0f0fdd&from=serp&vjs=3
Human Resources Data Analyst,Lambda,"Hybrid work in San Francisco Bay Area, CA","Data Integrity: Ensure data accuracy and integrity by implementing data quality assurance practices.
Have strong technical skills in data querying languages,…",https://www.indeed.com/viewjob?jk=a912b471bdd0f1b4&from=serp&vjs=3
"Supervisor, Data Center",Sutter Health,"Sparks, NV","Demonstrated knowledge of electronic data processing (EDP) disaster recovery and security principles.
Directly responsible for the security and transfer of…",https://www.indeed.com/viewjob?jk=48187f42082fe80d&from=serp&vjs=3
"Coordinator, Data Entry",Centric Brands,"Greensboro, NC 27407","Aid in data analysis for quality improvement to ensure integrity.
Manage the process to create, maintain, and deactivate material master data.",https://www.indeed.com/viewjob?jk=24dc08497c5690c2&from=serp&vjs=3
Data Transfer Agent,BAE Systems,"Nashua, NH 03064","You will be required to review data transfer requests, execute the transfer, moving the data from one location to another, following defined processes and…",https://www.indeed.com/viewjob?jk=e87be45683e0d69f&from=serp&vjs=3
Data Intelligence Analyst,Verizon,"Hybrid work in Ashburn, VA","Analyzing data and clearly communicates findings to stakeholders.
Experience working in e-commerce data setting.
Four or more years of relevant work experience.",https://www.indeed.com/viewjob?jk=36e718fb3f6c430c&from=serp&vjs=3
"Procurement Data and Reporting Specialist - Princeton, NJ (Hybrid)",DSM,"Princeton, NJ","Data Management: Support efforts in data cleansing, data quality, re-classification, standardization, documentation of data provenance and governance.",https://www.indeed.com/viewjob?jk=d437f3a1b355b6e9&from=serp&vjs=3
AI Manager,"Ingenio, LLC","Remote in San Francisco, CA","Ingenio is actively seeking a proficient AI Manager (Consumer App Business) to enhance our team.
As an AI Manager, you will carry out the development, strategic…",https://www.indeed.com/viewjob?jk=fe0a42263e1e2572&from=serp&vjs=3
Engineer - Data/GCP,Amex,"Hybrid work in Phoenix, AZ","Well versed with GCP offerings, hands on experience with building data pipelines on GCP.
Contributes to design, development, solving, debugging, evaluating,…",https://www.indeed.com/viewjob?jk=661147173ebaacce&from=serp&vjs=3
IT Data Analyst,Purdue University,"West Lafayette, IN 47906","Knowledge of data visualization tools (Tableau preferred).
Strong analytical skills with the ability to provide analysis and interpretation of data.",https://www.indeed.com/viewjob?jk=68c4d9722a46fd52&from=serp&vjs=3
Data Modernization Consultant - State and Local,Deloitte,United States,"Using tools such as Snowflake and/or Databricks, they will also work with cutting-edge DevOps technologies, develop advanced analytics products, and apply data…",https://www.indeed.com/viewjob?jk=fc8cfb658d57007a&from=serp&vjs=3
Epic Data Warehouse Consultant,Intone Networks,Remote,Title: Epic Data Warehouse Consultant Location: USA…,https://www.indeed.com/viewjob?jk=98ca746d54042e0e&from=serp&vjs=3
Customer Relations Business Analyst I,Hawaii Medical Service Association,"Honolulu, HI 96814 (Ala Moana-Kakaako area)","Design analysis and develop programs to gather data to be reported.
Independently conduct data analysis related to major projects and operational activities…",https://www.indeed.com/viewjob?jk=03a2479ab06c7bc8&from=serp&vjs=3
Commercial Card Business Analyst - Payments - Associate,JPMorgan Chase & Co,"Plano, TX 75024","As a Commercial Card Business Analyst in our Core Payment Rails team, you will focus on prospecting, pitching and closing payables solutions for large corporate…",https://www.indeed.com/viewjob?jk=2ed470c0f35d0a28&from=serp&vjs=3
LTE Climate Data Assistant,Dane County,"Madison, WI","Demonstrated experience in complex data management (any data), or in resource tracking associated with energy or transportation data.",https://www.indeed.com/viewjob?jk=4e8fc346e0f8df8e&from=serp&vjs=3
Data Center Technician,GoDaddy,"Ashburn, VA","Perform data and power cable management, testing, and installation.
Walk/move about the data center facility for up to 85% of shift time.",https://www.indeed.com/viewjob?jk=e707e55f2fedb8d0&from=serp&vjs=3
"Data and Program Manager (cycle-position, multiple states - 6 positions)",America Votes,"Washington, DC 20036 (Downtown area)","Work with the state data director to support data needs of partner programs, including some VAN administration responsibilities.",https://www.indeed.com/viewjob?jk=b59e08c9c142f4e1&from=serp&vjs=3
Health-Related Social Needs Data Analyst (RA3),Oregon Health Authority,"Portland, OR","Receive and organize internal data sets, including health plan reporting, surveys, other data related to health-related social needs; validate data and provide…",https://www.indeed.com/viewjob?jk=4e67552a1a1d3b35&from=serp&vjs=3
IT Business Analyst,York Hospital,"York, ME 03909","Analyze data to inform business decisions.
Drive identification of requirements across the practices and identify gaps in systems processes through the…",https://www.indeed.com/viewjob?jk=8d5818f3f9b6ff1d&from=serp&vjs=3
"Software Engineer, Data (Remote)",Home Depot / THD,"Remote in Atlanta, GA","Experience in effective data engineering practices and big data platforms such as BigQuery, Data Store, etc.
The role could interface with Business Stakeholders…",https://www.indeed.com/viewjob?jk=5ef3e3dd45d0c954&from=serp&vjs=3
"Senior Data Analyst, Square Compliance",Afterpay,Remote,"Collaborate with compliance and audit teams to understand data requirements and provide relevant data insights.
7+ years of related experience.",https://www.indeed.com/viewjob?jk=59b26e804f9133a6&from=serp&vjs=3
Data Specialist – Air Quality Modeler,Houston-Galveston Area Council,"Houston, TX 77027 (Greenway - Upper Kirby area)",Ü Assisting in conducting project and regional level transportation air quality conformity analysis impacted by transportation improvement projects.,https://www.indeed.com/viewjob?jk=d81378e2b76320c9&from=serp&vjs=3
Senior Engineer Data Visualization,The Hershey Company,"Remote in Hershey, PA","Integrate data from disparate sources, ensuring data consistency and integrity.
3+ Experience working with Alteryx or similar data wrangling tool for data…",https://www.indeed.com/viewjob?jk=0de2fb8344ff903c&from=serp&vjs=3
"Business Analyst, Amazon Fresh Grocery",Amazon.com Services LLC,"Seattle, WA","Experience with providing data to make retail business decisions, including sales, margin, shrink, promotions and inventory data.",https://www.indeed.com/viewjob?jk=76f0cca61016efc4&from=serp&vjs=3
Hardware Insight Data Scientist,Apple,"Sunnyvale, CA","Demonstrated experience in leading data science projects through all phases including exploratory data analysis, data quality management, modeling, tool…",https://www.indeed.com/viewjob?jk=f61141326a17fb72&from=serp&vjs=3
Data and Records Specialist,Bowie State University,"Bowie, MD 20715","Update applicant records with external data.
Support the data entry lead with incoming document processing through email and postal mail.",https://www.indeed.com/viewjob?jk=9d41c35bd176c7b5&from=serp&vjs=3
DATA CONTROL CLERK III,The State of New Hampshire,"Concord, NH 03305",Utilizes computerized hardware and software to electronically capture and store source documents in an electronic file format through data entry or other…,https://www.indeed.com/viewjob?jk=afd583e9855796b2&from=serp&vjs=3
Data Analyst,Sadup Softech,United States,"Determine business impact level for data quality issues.
Identify areas of improvement to achieve data quality.
Experience in Python, SparkSQL is a plus.",https://www.indeed.com/viewjob?jk=8b5e71796a234c3c&from=serp&vjs=3
Senior Data Analyst,Aurora Innovation,"Pittsburgh, PA","Intermediate knowledge of data analytics infrastructure, including data transformation tools such as DBT and visualization frameworks and tools.",https://www.indeed.com/viewjob?jk=6847239da6550d04&from=serp&vjs=3
National Black Worker Center - Data Coordinator,NRG Consulting Group,Remote,"Knowledge of how power and privilege can show up in data—both in access to data and the data itself.
Strong understanding of data analysis procedures.",https://www.indeed.com/viewjob?jk=f792638d5bd7df84&from=serp&vjs=3
Data Analysis and Informatics Specialist,North Carolina Dept of Health and Human Services,"Wake County, NC","Collaborate with IT professionals to integrate data systems, develop data warehouses, and streamline data workflows.
Policy Support and Decision Making:",https://www.indeed.com/viewjob?jk=3ad288cbbde7c25f&from=serp&vjs=3
Data and Performance Analyst,State of Montana,Hybrid work in Montana,"Examine data received from reporting parties and evaluate data for quality, reliability and validity.
Work with IT staff to ensure that the case management…",https://www.indeed.com/viewjob?jk=6c508eaeef1dbf94&from=serp&vjs=3
EMR DATA SPECIALIST,Compass Behavioral Health,"Garden City, KS 67846","Electronic Medical Record data specialist.
Monitor data required for state/CCBHC reporting.
Provide direct/indirect support to staff to correct data errors.",https://www.indeed.com/viewjob?jk=bfb12706b6a80efe&from=serp&vjs=3
Clinical Data Analyst - BMT Support - Flexi (889),UAB Medicine,"Birmingham, AL",To obtain clinical data entered in to medical record and to interpret and analyze the data for required reporting to the Center for International Blood and…,https://www.indeed.com/viewjob?jk=05e9f6e7be1c3525&from=serp&vjs=3
"Director of Data and Reporting, Community Hiring",NYC Office Of The Mayor,"New York, NY","Indicators, data sharing and open-data standards.
Performing analytics tasks using procurement, contract and workforce data from different data.",https://www.indeed.com/viewjob?jk=ee57dad69125994a&from=serp&vjs=3
MHCC DATA SCIENTIST (MHCC METHODOLOGIST),State of Maryland,"Baltimore, MD 21215 (Reisterstown Station area)","Experience conducting studies using large healthcare data is mandatory.
The successful candidate will design and conduct health services research/population…",https://www.indeed.com/viewjob?jk=2a4af7f89c05bab1&from=serp&vjs=3
DATA SCIENTIST ASSOCIATE,University of Alabama at Birmingham,"Birmingham, AL","Under direction, develop and run QA/QC paradigms for data integrity (e.g. reconciliation of double data entry) of ADRC data for the Center Registry, the NACC…",https://www.indeed.com/viewjob?jk=da9dd5b6dad3ca48&from=serp&vjs=3
Research Data Analyst,Vanderbilt University Medical Center,"Nashville, TN 37232 (Vanderbilt Area area)","Familiar with data modeling and understands the relationships between data items.
Uses advanced statistical and data programming skills to manage and analyze…",https://www.indeed.com/viewjob?jk=6b91ea255337c443&from=serp&vjs=3
Data Management and Power BI,John Staurulakis (JSI),"Greenbelt, MD","Working knowledge of NetSuite data is desired (not required).
2 - 5 years of development experience in data analytic technologies.",https://www.indeed.com/viewjob?jk=b10251afa79f4fa7&from=serp&vjs=3
Data Warehouse Project Manager,Intone Networks,"Middle River, MD","Title: Data Warehouse Project Manager Locations: Middle River,…",https://www.indeed.com/viewjob?jk=36d5ed17aff5e8f9&from=serp&vjs=3
Data Coordinator,Valley Creek Church,"Flower Mound, TX 75028","Strong attention to detail and accuracy in data entry and.
Develop methods for our team to collect qualitative data and be able to report quantitatively.",https://www.indeed.com/viewjob?jk=94e98f7636c569a7&from=serp&vjs=3
Business Analyst,McLane Company,"Hybrid work in Temple, TX 76508",The Business Analyst is a hybrid remote position which will require the candidate to report and work from the office two days a week.,https://www.indeed.com/viewjob?jk=3c858563aaa442a9&from=serp&vjs=3
Data & Infrastructure Engineer,Bayview Asset Management,"Coral Gables, FL 33146","Improve data surveillance and develop data visualization tools;
Integrate data from multiple sources to meet business requirements;
Master’s degree is a plus.",https://www.indeed.com/viewjob?jk=384d66c811aeb635&from=serp&vjs=3
2025 Accelerated Development Program - Analytics and Data Science,Trane Technologies,"Hybrid work in Davidson, NC 28036","Additionally, ADPs will grow in the areas of predictive model development & deployment from data extraction.
ADP participants will develop a solid foundation in…",https://www.indeed.com/viewjob?jk=70c981ced302002b&from=serp&vjs=3
Data Migration Specialist,Fullsteam,Remote,"Conduct data analysis checks - identify and resolve issues, and data inconsistencies to ensure a clean migration.
Experience working with both REST and GraphQL.",https://www.indeed.com/viewjob?jk=73206fdda35d0db5&from=serp&vjs=3
Statistician (Part-time) - Brain Research Lab,UCLA Health,"Los Angeles, CA 90095","Explain and summarize data analysis findings to the team.
At least two years experience working in data science.
Co-author publications with the PI.",https://www.indeed.com/viewjob?jk=c7797c47b7b6bc7e&from=serp&vjs=3
Cannabis Data Support Specialist,New Growth Horizon LLC,"St. Louis, MO 63144","3+ years of experience in data analytics or data support roles;
Identifying and resolving data-related issues promptly, implementing preventive measures to…",https://www.indeed.com/viewjob?jk=134490072c71d79e&from=serp&vjs=3
Principal Data Scientist,Ally Financial,"Hybrid work in Lewisville, TX","Use SQL & Python as main tool for data preparation: extracting, cleansing, aggregation and summarizing data to create meaningful visualizations and perform data…",https://www.indeed.com/viewjob?jk=cfa3f72aa5d0cb60&from=serp&vjs=3
Hydrographic Data Processor,Saildrone,"Hybrid work in Saint Petersburg, FL 33701","Configure and validate data processing software.
Follow established data processing procedures and guidelines.
Provide QA/QC reports of data.",https://www.indeed.com/viewjob?jk=40139b30862c4a28&from=serp&vjs=3
Mid Data Analyst / Power BI Developer,Assent Advisory Group,"Hybrid work in Norfolk, VA 23551","Experience managing data sets with multiple data types for analysis.
Perform data modeling, data transformation, and calculations.",https://www.indeed.com/viewjob?jk=0125fc6ceb7c733b&from=serp&vjs=3
DATA ARCHITECTS,"Software Technology, Inc","Princeton, NJ","Migrate historical data and develop extraction, transformation and loading of data.
Define data standards and policies to ensure data quality and consistency…",https://www.indeed.com/viewjob?jk=6667cc35f189b67b&from=serp&vjs=3
"Senior Manager, Data Analytics & Reporting",Centene,Remote in Florida,"Position Purpose: Responsible for ensuring accurate, timely, and efficient reporting and input of data related to all core business functions to include:…",https://www.indeed.com/viewjob?jk=25f0a33539acd333&from=serp&vjs=3
BI Developer Analyst,Blue Cross and Blue Shield of North Carolina,North Carolina,"Perform analysis for a wide range of requests using data in different formats and from various platforms.
Provide assistance to business areas in understanding…",https://www.indeed.com/viewjob?jk=350ccfcceeaca9d9&from=serp&vjs=3
Data Analyst,Assurety Consulting,"Washington, DC",Conducts data analysis in support of product acceptance programs and initiatives; collects and analyzes data to identify trends and insights and summarize…,https://www.indeed.com/viewjob?jk=13e81db12afb2fe4&from=serp&vjs=3
"Data Science Manager, Shopper",Pinterest,"San Francisco, CA","Demonstrated skills in selecting the right statistical tools given a data analysis problem.
Drive data-driven decision-making aligned with the organization's…",https://www.indeed.com/viewjob?jk=f3bb168501c5c662&from=serp&vjs=3
Junior Data Scientist,Logistics Management Institute,"Washington, DC","Preferred experience with data science methods related to data architecture, data munging, data and feature engineering, and predictive analytics; additional…",https://www.indeed.com/viewjob?jk=cde62cbd285b87d0&from=serp&vjs=3
Data Engineer,Ford Motor Company,"Hybrid work in Dearborn, MI 48126","Work effectively with fellow data engineers, product owners, data champions and other technical experts.
Develop exceptional analytical data products using both…",https://www.indeed.com/viewjob?jk=e34f9355746bcd23&from=serp&vjs=3
Associate Scientist - Chemical Data Steward,Procter & Gamble,"Mason, OH 45040","Outstanding Communication Skills: the successful candidate will effectively communicate data needs to the manufacturers, working with Sector GPS on refining…",https://www.indeed.com/viewjob?jk=01bb6b698d3e116c&from=serp&vjs=3
Data Scientist,L.E.K. Consulting,"Hybrid work in Boston, MA","Analytical needs can include: data aggregation / creation, data cleaning / manipulation, commercial data science (e.g., geospatial, machine learning, predictive…",https://www.indeed.com/viewjob?jk=ed54db351660ae0d&from=serp&vjs=3
Imaging Specialist,TeleSolv Consulting,"Fort Worth, TX",Proficient in using advanced scanning equipment and software to convert physical documents into digital formats following NARA requirements.,https://www.indeed.com/viewjob?jk=854c84adb598ba34&from=serp&vjs=3
Clinical Data Manager II,RHO,United States,"Helps in creation and implementation of data management plans (DMPs), data entry guidelines, data completion guidelines and other study documents.",https://www.indeed.com/viewjob?jk=b7120199a7c99d0d&from=serp&vjs=3
Data Support Manager,Bank of America,"Charlotte, NC 28202 (First Ward area)","Strong understanding of databases, data structures, data modeling and data mapping.
Document and provide definitions for processes and procedures, data models,…",https://www.indeed.com/viewjob?jk=4b122766f8929765&from=serp&vjs=3
Data Analyst,"City of Lynchburg, VA","Lynchburg, VA 24504","Experience with data modeling and data analysis.
Build extensive data analytics products with multiple large data sources using data platforms such as PowerBI…",https://www.indeed.com/viewjob?jk=335a77d0000f76dd&from=serp&vjs=3
Provider Network Data Associate II,L.A. Care Health Plan,"Los Angeles, CA 90017 (Westlake area)","The position is responsible for assisting in the collection, analysis and evaluation of data in order to conduct complex studies through the use of statistical…",https://www.indeed.com/viewjob?jk=5bc7bd2244b31c08&from=serp&vjs=3
Integrated Data Repository,Softrams,Remote,"Performs hands-on IDR data query work and/or guides others in needed data queries, data engineering, and data analysis.
This is a full-time W-2 opportunity.",https://www.indeed.com/viewjob?jk=7a843dee4acc3d1e&from=serp&vjs=3
Data Science Specialist,Tufts University,"Hybrid work in Somerville, MA 02144","Support for data science scholarship includes cutting-edge methods and tools for data engineering, data analysis, and data visualization.",https://www.indeed.com/viewjob?jk=8ed82aba35a7c587&from=serp&vjs=3
Sophomore Summer Business Analyst,McKinsey & Company,"Atlanta, GA 30303 (Downtown area)","You’ll work in teams of typically 3-5 consultants, playing an active role in all aspects of the engagement.
This includes gathering and analyzing information,…",https://www.indeed.com/viewjob?jk=cce060fbb7a85fd9&from=serp&vjs=3
Strategy & Data Analytics Specialist,Transformation Church,"Fort Mill, SC 29707","Data Management: Support TC’s data management, including data governance, data quality, and data analysis.
Reports To: Strategy & Data Analytics Lead.",https://www.indeed.com/viewjob?jk=350f6492b983de54&from=serp&vjs=3
Data Analytics Developer,Logan Health,"Kalispell, MT 59901",Optimizes data warehouse performance by dealing with data conflicts that arise and performs routine maintenance as needed.,https://www.indeed.com/viewjob?jk=cd2b773bed8221e3&from=serp&vjs=3
Static Data Associate,StoneX Group,"Chicago, IL 60604 (The Loop area)","Regularly audit static data files to ensure accuracy.
Responsible for processing static data in GMI specifically new account and commission and fee tables as…",https://www.indeed.com/viewjob?jk=5df0783c11a4047a&from=serp&vjs=3
Business Analyst,Total Quality Logistics (TQL),"Cincinnati, OH 45245","Exposure to data visualization concepts and techniques.
Design and develop solutions for enterprise and departmental business intelligence (BI), data…",https://www.indeed.com/viewjob?jk=5f33e743685e902b&from=serp&vjs=3
Enterprise Data Operations Supervisor - REMOTE,"Ferguson Enterprises, LLC","Remote in Richmond, VA 23219","Proposing changes in data production processes to reduce errors and improve data quality.
Exhibits basic understanding of data governance.",https://www.indeed.com/viewjob?jk=4a0b1186f815460c&from=serp&vjs=3
Data Engineer,Index Analytics Llc,"Windsor Mill, MD 21244 (Howard Park area)","Cognos and SAS interaction with the data infrastructure.
Experience in Big Data and working in a data engineering role.
5 + years of overall work experience.",https://www.indeed.com/viewjob?jk=de1c08431607a20b&from=serp&vjs=3
[HackerRank] Software Engineer Graduate (AI Platform) - 2025 Start (BS/MS),TikTok,"San Jose, CA","Strong CS fundamentals (algorithms and data structures) and problem-solving skills.
By utilizing AI model training, optimization, deployment and applications,…",https://www.indeed.com/viewjob?jk=faee7de8a0ceb923&from=serp&vjs=3
Research Data Support Analyst,Yale University,"Hybrid work in New Haven, CT 06511",The ideal candidate is a knowledgeable data enthusiast interested in exploring new interdisciplinary data resources and working to learn and implement new data…,https://www.indeed.com/viewjob?jk=81c23b4c01315e95&from=serp&vjs=3
New Business Analyst (Conflicts Analysis and Clearance),Morgan Lewis,"Hybrid work in Los Angeles, CA","Reporting to the New Business Manager, this position will focus efforts on assisting Partners, Associates, and support staff in identifying potential conflict…",https://www.indeed.com/viewjob?jk=5a77f6ab1690f8da&from=serp&vjs=3
Data Analyst Advisor,Fedex,"Memphis, TN 38125 (Windyke-Southwind area)","Designs and implements advanced processes and analytics associated with a wide range of variety of data sets used for data/text mining, analysis, and prediction…",https://www.indeed.com/viewjob?jk=b3688415ef54504e&from=serp&vjs=3
Sr. BOM Analyst,Rivian,"Irvine, CA 92606","Lead engineering data processes within working teams.
2+ years of experience in related data field.
Rivian may collect, use and disclose your personal…",https://www.indeed.com/viewjob?jk=fc75c16f66925ee0&from=serp&vjs=3
Flight Data and Certification Analyst,Embry-Riddle Aeronautical University,"Daytona Beach, FL 32114",The Flight Data & Certification Department in Flight Operations at our Daytona Beach Campus is currently accepting applications for the position of Flight Data…,https://www.indeed.com/viewjob?jk=e4d2e51cf6146aa5&from=serp&vjs=3
Data Entry Operator II,B3H Corporation,"Crane, IN","Operates keyboard-controlled data entry devices such as a computer, key-operated magnetic tape, or disc encoder to transcribe data into a format suitable for…",https://www.indeed.com/viewjob?jk=05b98ff25d45941a&from=serp&vjs=3
"Customer Engineer II, Data Analytics, Google Cloud",Google,"Boulder, CO (Whittier area)","Experience with developing data warehousing, data lakes, batch/real-time event processing, streaming, data processing (e.g., ETL/ELT), data migrations, data…",https://www.indeed.com/viewjob?jk=c38af8ae8553f55f&from=serp&vjs=3
Claims Provider Data Oversight Manager,CareSource,Remote,"Minimum of three (3) years of progressive experience in provider record data, claims data management or a related field, including claims outcome analysis, is…",https://www.indeed.com/viewjob?jk=0f4d68c158231018&from=serp&vjs=3
SENIOR DATA ANALYST,NORTH EAST MEDICAL SERVICES,United States,"Perform research by gathering data from a variety of healthcare sources, including internal and external data/research.
This is an FLSA Exempt position.",https://www.indeed.com/viewjob?jk=e024e330774c917c&from=serp&vjs=3
Data Visualization Developer (0652U) 70377,University of California Berkeley,"Berkeley, CA 94720",The incumbent will be a seasoned data visualization developer with interest and experience complementing teams that address environmental challenges with data…,https://www.indeed.com/viewjob?jk=3de8dd9e2ab40df0&from=serp&vjs=3
Data Scientist- CalAIM,"Public Health Foundation Enterprises, In","Los Angeles, CA 90014","Coordinates and contributes to complex projects that require using advanced methods of data science such as cloud-based data design; data extraction,…",https://www.indeed.com/viewjob?jk=e74f4f502a36f16c&from=serp&vjs=3
RA Data Analytics Apprentice,DSM,Connecticut,"Maintain databases and systems – reorganizing data in a readable format;
Maintaining reports for the management using relevant data; •Follow Standard…",https://www.indeed.com/viewjob?jk=247c35234f64904a&from=serp&vjs=3
Data Scientist,Mimecast,"Lexington, MA 02421","At Mimecast, we deliver the right data to the right people at the right time, supporting data-driven decisions with self-service dashboards, custom alerts, and…",https://www.indeed.com/viewjob?jk=fbcf62571748d6b4&from=serp&vjs=3
Data Analyst Sr.,EdPlus at Arizona State University,"Hybrid work in Scottsdale, AZ 85257",Ensure 1st-party data collection is consistent following established data-layer standards and user consent preferences.,https://www.indeed.com/viewjob?jk=f606279917b79709&from=serp&vjs=3
Data and Quality Analyst,D-H Medical Center,"Lebanon, NH 03756","Facility with computerized data management and the organization of quantitative data.
Ensures the cyclical data management and data analysis are carried out in…",https://www.indeed.com/viewjob?jk=3b901da183159569&from=serp&vjs=3
"Data Systems Specialist,- REACH",Evergreen Treatment Services & REACH,"Seattle, WA 98121 (Belltown area)","Assisting programmatic staff by doing data entry and data “clean-up”.
Experience reviewing and interpreting data and reports is required.",https://www.indeed.com/viewjob?jk=5416e6bbda23571e&from=serp&vjs=3
Data Scientist,Intone Networks,"Hybrid work in Baltimore, MD",Title - Data Scientist Location- Baltimore-MD Hybrid onsite in MD- 2 days a…,https://www.indeed.com/viewjob?jk=6c8e077d1f35c26c&from=serp&vjs=3
Business Analyst I,H-E-B,"San Antonio, TX 78204 (Lone Star area)","Prepares and analyzes audit reports to ensure data integrity.
The team also oversees our Mexico Division's accounting, tax, and finance operations.",https://www.indeed.com/viewjob?jk=fde32444866bf688&from=serp&vjs=3
